lat lon elev pft frac scene_x_from scene_x_to scene_y_from scene_y_to wmax rhosw rhosd des evap1 site_name
  60.09  17.50    57  5  9  0 0.30 0.30 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! SE-Nor
  56.44  32.90   268  5  9  0 0.70 0.05 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! RU-Fy2
  55.88 -98.48   240  5  9  0 0.60 0.10 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! CA-Man
  49.87-125.33   304  4  9  0 0.80 0.05 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! CA-Ca1
  46.23 102.83  1437  9 10  0 0.40 0.00 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! MN-Arv
  45.56 117.00   888  9 10  0 0.50 0.10 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! CN-Dwu
  42.53 -72.17   339  4  5  0 0.50 0.40 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! US-Ha1
  42.31-106.56  2196  9  0  0 0.50 0.00 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! US-NPn
  39.84 -74.38    42  4  5  0 0.50 0.40 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! US-Ced
  38.43-120.97   143  4  9 10 0.30 0.10 0.10  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! US-Ton
  35.55 -98.04   424  9 10  0 0.40 0.40 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! US-ARc
  31.35  35.05   665  5 10  0 0.20 0.20 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! IL-Yat
   8.90 -68.15    75  2 10  0 0.70 0.20 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! VE-Gan
 -14.16 131.39    80  2 10  0 0.20 0.10 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! AU-Da2
 -25.02  31.50   346  2 10  0 0.60 0.20 0.00  -1  -1  -1  -1  100.0 0.10 0.20  5.01   12.1 ! ZA-Kru
